Academia,Asignatura
FACULTAD INGENIERIA TAMPICO,(G.IT18.174) BASE DE DATOS AVANZADAS
FACULTAD INGENIERIA TAMPICO,(RC.05053.0136.5-5) PROBABILIDAD Y ESTADISTICA
